Date,Strategy_Returns,EQ_Returns
2000-01-31,-0.049492351710796356,-0.049491845071315765
2000-02-29,-0.04977023974061012,-0.0497564896941185
2000-03-31,0.09392571449279785,0.09392575174570084
2000-04-28,-0.008071614429354668,-0.008079887367784977
2000-05-31,-0.002411280758678913,-0.0024560168385505676
2000-06-30,0.009184150025248528,0.009191961959004402
2000-07-31,-0.010035471059381962,-0.010035914368927479
2000-08-31,0.05696127563714981,0.05695539712905884
2000-09-29,-0.03458229824900627,-0.03457037732005119
2000-10-31,-0.007313312031328678,-0.00739239202812314
2000-11-30,-0.0635724663734436,-0.06358520686626434
2000-12-29,0.04052030295133591,0.040538445115089417
2001-01-31,-0.006207827478647232,0.03086518868803978
2001-02-28,0.006281051319092512,-0.06198183447122574
2001-03-30,-0.08237729221582413,-0.056623153388500214
2001-04-30,0.05705805495381355,0.09225617349147797
2001-05-31,0.03841151297092438,0.008995691314339638
2001-06-29,0.036113787442445755,-0.027219321578741074
2001-07-31,-0.017229292541742325,-0.021832168102264404
2001-08-31,-0.037095729261636734,-0.04043680056929588
2001-09-28,-0.15007664263248444,-0.10957017540931702
2001-10-31,-0.016900107264518738,0.04557599499821663
2001-11-30,0.08008160442113876,0.0645231157541275
2001-12-31,0.06163851171731949,0.019628843292593956
2002-01-31,0.004578184336423874,-0.013548163697123528
2002-02-28,0.04526238515973091,-0.0020379205234348774
2002-03-28,0.023862283676862717,0.05438661202788353
2002-04-30,0.00950399599969387,-0.03949912637472153
2002-05-31,0.048678454011678696,-0.013433451764285564
2002-06-28,-0.07703785598278046,-0.07465667277574539
2002-07-31,-0.03352046385407448,-0.08934888243675232
2002-08-30,0.01945369504392147,0.0035113419871777296
2002-09-30,-0.04390876740217209,-0.08229193091392517
2002-10-31,0.021383415907621384,0.05644954741001129
2002-11-29,0.016733316704630852,0.05757993832230568
2002-12-31,-0.05818398669362068,-0.04251151904463768
2003-01-31,0.0476994626224041,-0.0217650905251503
2003-02-28,-0.045645490288734436,-0.004012296441942453
2003-03-31,-0.03449736908078194,0.0013686346355825663
2003-04-30,0.030229322612285614,0.0636034607887268
2003-05-30,0.07360012829303741,0.07747651636600494
2003-06-30,-0.044282302260398865,-0.0021470629144459963
2003-07-31,0.02562679909169674,0.017840024083852768
2003-08-29,0.053372785449028015,0.03732198476791382
2003-09-30,0.017277967184782028,-0.0132026681676507
2003-10-31,0.015413346700370312,0.04272343963384628
2003-11-28,0.03248146176338196,0.013874754309654236
2003-12-31,0.045467618852853775,0.04410357028245926
2004-01-30,0.029200535267591476,0.022593336179852486
2004-02-27,0.020408155396580696,0.01927325129508972
2004-03-31,0.007999745197594166,-0.0038484358228743076
2004-04-30,-0.04702381044626236,-0.03490892052650452
2004-05-28,0.018755964934825897,0.013098349794745445
2004-06-30,0.019029289484024048,0.020752066746354103
2004-07-30,-0.035156771540641785,-0.02707071043550968
2004-08-31,-0.008999527432024479,0.0048422981053590775
2004-09-30,0.035958483815193176,0.0267449039965868
2004-10-29,0.056716419756412506,0.0170500036329031
2004-11-30,0.046229954808950424,0.04525323957204819
2004-12-31,0.011727506294846535,0.01545705832540989
2005-01-31,-0.029737090691924095,-0.02044566348195076
2005-02-28,0.02854008972644806,0.034913722425699234
2005-03-31,-0.01673206500709057,-0.02443266287446022
2005-04-29,-0.0011813323944807053,-0.015768205747008324
2005-05-31,-0.020279856398701668,0.030750563368201256
2005-06-30,0.03296167403459549,0.019096363335847855
2005-07-29,0.0076578399166464806,0.045394230633974075
2005-08-31,0.0005987393669784069,-0.001815109048038721
2005-09-30,0.0523080974817276,0.01453273743391037
2005-10-31,-0.016596036031842232,-0.031930938363075256
2005-11-30,0.060949645936489105,0.04142580181360245
2005-12-30,0.01999833434820175,0.004112204536795616
2006-01-31,0.10907628387212753,0.05445728451013565
2006-02-28,-0.020156342536211014,-0.006534944288432598
2006-03-31,0.04043269902467728,0.016041522845625877
2006-04-28,0.1155615746974945,0.019250191748142242
2006-05-31,-0.008403515443205833,-0.036660000681877136
2006-06-30,-0.05084669589996338,-0.010736281052231789
2006-07-31,0.004872539546340704,-0.0030867201276123524
2006-08-31,-0.019480381160974503,0.014552658423781395
2006-09-29,-0.04729902371764183,-0.005465073976665735
2006-10-31,0.0043047950603067875,0.0399446114897728
2006-11-30,0.07596535235643387,0.04219484329223633
2006-12-29,-0.004536931868642569,-0.013365043327212334
2007-01-31,0.029387645423412323,0.01837892457842827
2007-02-28,0.020487628877162933,-0.0064989072270691395
2007-03-30,-0.0008364412933588028,0.0014679080341011286
2007-04-30,0.0234953872859478,0.031899042427539825
2007-05-31,-0.008526773191988468,0.02349673956632614
2007-06-29,-0.02271592989563942,-0.02797309309244156
2007-07-31,0.03121645748615265,-0.029095405712723732
2007-08-31,0.009545115754008293,0.004357111640274525
2007-09-28,0.0878857895731926,0.03609326481819153
2007-10-31,0.045131295919418335,0.026669945567846298
2007-11-30,-0.02342710644006729,-0.04461751505732536
2007-12-31,0.04239797592163086,-0.003522545099258423
2008-01-31,0.10432349890470505,-0.016000114381313324
2008-02-29,0.04935695603489876,0.00037015601992607117
2008-03-31,-0.05473072826862335,-0.009523565880954266
2008-04-30,0.07968369871377945,0.03472015634179115
2008-05-30,0.030286578461527824,0.016004011034965515
2008-06-30,0.04014091193675995,-0.05287690460681915
2008-07-31,-0.006525148171931505,-0.01277635246515274
2008-08-29,-0.09312254190444946,-0.005797689314931631
2008-09-30,0.04866170138120651,-0.07805759459733963
2008-10-31,-0.183042511343956,-0.1906481385231018
