Date,Strategy_Returns,SPY_Returns
2000-01-31,0.04949016124010086,-0.04978723404255314
2000-02-29,0.04971027746796608,-0.015226153157187672
2000-03-31,-0.09392590820789337,0.09413369713506148
2000-04-28,0.008107696659862995,-0.03512053200332499
2000-05-31,0.0026033855974674225,-0.015722593150980013
2000-06-30,-0.009218193590641022,0.017286652078774667
2000-07-31,0.010037328116595745,-0.015702301570230115
2000-08-31,-0.05693432688713074,0.06534090909090917
2000-09-29,0.034530267119407654,-0.057230769230769196
2000-10-31,0.007663251832127571,-0.0046779808529155975
2000-11-30,0.06362799555063248,-0.07465296753743578
2000-12-29,-0.04060046374797821,-0.008268367587999093
2001-01-31,0.02046160213649273,0.044459298884885756
2001-02-28,0.0008822863455861807,-0.09538758514581092
2001-03-30,0.03244803845882416,-0.05857196196517456
2001-04-30,-0.020073942840099335,0.08544006351966082
2001-05-31,-0.009337746538221836,-0.005605611032202917
2001-06-29,-0.01648493856191635,-0.026597844821685368
2001-07-31,0.010195758193731308,-0.0101957586913336
2001-08-31,-0.026993582025170326,-0.059332484868367286
2001-09-28,0.07551098614931107,-0.0850635037641353
2001-10-31,-0.013021830469369888,0.013021836255840302
2001-11-30,-0.07770002633333206,0.07797731344075731
2001-12-31,-0.014855791814625263,0.002192020984747689
2002-01-31,-0.013963021337985992,-0.009798798921071494
2002-02-28,-0.05019513890147209,-0.01793602026703689
2002-03-28,-0.02221439965069294,0.03031934386796098
2002-04-30,-0.01810995116829872,-0.05815574771166454
2002-05-31,-0.059185050427913666,-0.005933611960197038
2002-06-28,0.07703786343336105,-0.07703788511649023
2002-07-31,0.02771599218249321,-0.07881967961322611
2002-08-30,-0.028090475127100945,0.0068011747727168
2002-09-30,0.050021104514598846,-0.10884722158029714
2002-10-31,0.01885790377855301,0.08228384462900062
2002-11-29,0.005003051832318306,0.0616810542354993
2002-12-31,0.061183229088783264,-0.061183228289124925
2003-01-31,0.06001121923327446,-0.024594873804561823
2003-02-28,-0.05093139782547951,-0.013478922445065877
2003-03-31,-0.03825253248214722,-0.0018846131829645119
2003-04-30,0.010490449145436287,0.08461182415730706
2003-05-30,0.07716270536184311,0.05483617762285631
2003-06-30,-0.04499081149697304,0.007013928072002074
2003-07-31,0.02728622779250145,0.018027268111685313
2003-08-29,0.05901681259274483,0.02062584831820935
2003-09-30,0.024464426562190056,-0.01468853960275407
2003-10-31,0.004876294638961554,0.053526826081706114
2003-11-28,0.034840989857912064,0.010921119308221927
2003-12-31,0.04547139257192612,0.04537343325057219
2004-01-30,0.02157878875732422,0.019769991029565226
2004-02-27,0.018310461193323135,0.013570613681504806
2004-03-31,-0.029034387320280075,-0.01669273365485746
2004-04-30,-0.04518464580178261,-0.018921303435190606
2004-05-28,0.00645787175744772,0.017123301564129
2004-06-30,0.008695743978023529,0.014797077440314554
2004-07-30,0.00539107620716095,-0.03221865433280069
2004-08-31,0.005510879680514336,0.0024359823293194083
2004-09-30,0.09327073395252228,0.005850072201496692
2004-10-29,0.056716419756412506,0.012884706375152266
2004-11-30,0.09188678860664368,0.04143111809049449
2004-12-31,0.02345770038664341,0.02527782994623773
2005-01-31,-0.03261861205101013,-0.0224207745750985
2005-02-28,0.03183211386203766,0.020903804288731953
2005-03-31,-0.014853747561573982,-0.022133782887652886
2005-04-29,0.011598183773458004,-0.01873515684660232
2005-05-31,-0.04540242999792099,0.032224651031823814
2005-06-30,0.049963969737291336,-0.0025109059535391998
2005-07-29,-0.0029741479083895683,0.03826143268096405
2005-08-31,0.005277650430798531,-0.009374463009058198
2005-09-30,0.07806436717510223,0.003752643804873168
2005-10-31,-0.01143341138958931,-0.02365087484116024
2005-11-30,0.06810880452394485,0.04395243926921166
2005-12-30,0.040505312383174896,-0.0071764731648024105
2006-01-31,0.005833757575601339,0.024014117841698157
2006-02-28,-0.004916238132864237,0.005725456686580976
2006-03-31,0.013955173082649708,0.01247762736353275
2006-04-28,0.04963897913694382,0.012631898378793416
2006-05-31,-0.08031555265188217,-0.030120932894986963
2006-06-30,0.007750334683805704,-0.0018038063922849457
2006-07-31,0.026459235697984695,0.004478313170104498
2006-08-31,-0.014770693145692348,0.021822455602861
2006-09-29,0.030941857025027275,0.02250461156722272
2006-10-31,0.021119069308042526,0.03151662971529756
2006-11-30,0.03849906474351883,0.019885373587864352
2006-12-29,0.016554513946175575,0.0077563249651946276
2007-01-31,0.03081628493964672,0.015040283549296651
2007-02-28,0.022107120603322983,-0.019617442255434825
2007-03-30,-0.002773285610601306,0.007592474134873184
2007-04-30,0.02219088189303875,0.0442957273671325
2007-05-31,-0.014749990776181221,0.03392011778151671
2007-06-29,-0.02350739762187004,-0.018849559812021965
2007-07-31,0.0421750545501709,-0.03131018868843183
2007-08-31,-0.0008350730640813708,0.012832796469410379
2007-09-28,0.09555339068174362,0.033809916776066595
2007-10-31,0.05356465280056,0.013566601393292022
2007-11-30,-0.02046673744916916,-0.03873256043181239
2007-12-31,0.03795627877116203,-0.01648053873192956
2008-01-31,0.10602464526891708,-0.06046105731996565
2008-02-29,0.0489390529692173,-0.02584252689199218
2008-03-31,-0.054783280938863754,-0.01382458528068553
2008-04-30,-0.05978953093290329,0.04766229618815876
2008-05-30,0.030437517911195755,0.015116531749727047
2008-06-30,0.03563724458217621,-0.08813681659164652
2008-07-31,-0.006683052517473698,-0.008985790715066444
2008-08-29,0.03204748034477234,0.015453689401415893
2008-09-30,0.054693952202796936,-0.09938656797601908
2008-10-31,-0.18309780955314636,-0.16518662286051855
2008-11-28,-0.08209159970283508,-0.06960658231654038
